Bujur,Lintang,FAA,Elevation_m,UTM_X,UTM_Y
123.2882816,0.0026732,-149.12,-3162.7705,532078.6605990342,10000295.472684504
123.2889921,0.0026869,-149.12,-3164.5134,532157.7224697781,10000296.986984108
123.2897024,0.002701,-149.12,-3166.2488,532236.7620902081,10000298.545496533
123.2904126,0.0027156,-149.12,-3167.9795,532315.7905879689,10000300.159274938
123.2911226,0.0027304,-149.12,-3169.7014,532394.7968354349,10000301.795159882
123.2918325,0.0027454,-149.12,-3171.4133,532473.7919602608,10000303.453151377
123.292542,0.0027602,-149.12,-3173.1208,532552.7425795359,10000305.089036817
123.2932512,0.0027753,-149.12,-3174.8098,532631.6598208958,10000306.758081956
123.29396,0.0027906,-149.12,-3176.4954,532710.5325567052,10000308.449233647
123.2946685,0.0028059,-149.12,-3178.1636,532789.3719146175,10000310.140385592
123.2953768,0.0028209,-149.12,-3179.8237,532868.1890222889,10000311.79837834
123.2960847,0.0028355,-149.12,-3181.4739,532946.9616244389,10000313.412158724
123.2967924,0.0028495,-149.12,-3183.1084,533025.7119763754,10000314.959620437
123.2975,0.002863,-149.12,-3184.742,533104.4512057479,10000316.451816617
123.2854366,0.0026245,-149.11,-3155.8066,531762.0793363475,10000290.089730058
123.2861482,0.0026357,-149.11,-3157.5332,531841.2635913523,10000291.327700209
123.2868597,0.0026476,-149.11,-3159.28,531920.4367236446,10000292.643042566
123.2875708,0.0026601,-149.11,-3161.0237,531999.5653503258,10000294.024703993
123.2982074,0.0028761,-149.11,-3186.354,533183.1681849132,10000317.899800412
123.2989147,0.0028892,-149.11,-3187.964,533261.8740415218,10000319.34778444
123.2996218,0.002902,-149.11,-3189.5613,533340.5576479373,10000320.762609232
123.3003287,0.0029145,-149.11,-3191.151,533419.2190041709,10000322.144274777
123.2833004,0.0025951,-149.1,-3150.7698,531524.3708138946,10000286.840052668
123.2840127,0.0026044,-149.1,-3152.4001,531603.6329476222,10000287.868012585
123.2847247,0.0026141,-149.1,-3154.0952,531682.8617033495,10000288.940185234
123.3010353,0.0029267,-149.1,-3192.7341,533497.8469825792,10000323.492781067
123.3017419,0.0029385,-149.1,-3194.3047,533576.4749661256,10000324.797074948
123.2818746,0.0025783,-149.09,-3147.5369,531365.7130295128,10000284.983089829
