lon,lat,faa_topex
120.0083,-0.0082,84.5
120.025,-0.0082,83.9
120.0417,-0.0082,82.2
120.0583,-0.0082,80
120.075,-0.0082,78
120.0917,-0.0082,77.6
120.1083,-0.0082,79.1
120.125,-0.0082,80.7
120.1417,-0.0082,79.2
120.1583,-0.0082,72.6
120.175,-0.0082,62.3
120.1917,-0.0082,51
120.2083,-0.0082,40
120.225,-0.0082,29.9
120.2417,-0.0082,21.6
120.2583,-0.0082,16.5
120.275,-0.0082,14.7
120.2917,-0.0082,14.6
120.3083,-0.0082,13.8
120.325,-0.0082,10.8
120.3417,-0.0082,7.2
120.3583,-0.0082,4.7
120.375,-0.0082,3.1
120.3917,-0.0082,1.6
120.4083,-0.0082,0.5
120.425,-0.0082,0.2
120.4417,-0.0082,0.2
120.4583,-0.0082,0.3
120.475,-0.0082,1.3
120.4917,-0.0082,3.3
120.5083,-0.0082,5.1
120.525,-0.0082,5.5
120.5417,-0.0082,5.2
120.5583,-0.0082,5.4
120.575,-0.0082,5.9
120.5917,-0.0082,6.2
120.6083,-0.0082,5.8
120.625,-0.0082,4.9
120.6417,-0.0082,4.1
120.6583,-0.0082,3.5
120.675,-0.0082,3.2
120.6917,-0.0082,2.8
120.7083,-0.0082,2
120.725,-0.0082,0.4
120.7417,-0.0082,-1.9
120.7583,-0.0082,-4.9
120.775,-0.0082,-8.7
120.7917,-0.0082,-12.9
120.8083,-0.0082,-16.6
120.825,-0.0082,-19.3
120.8417,-0.0082,-20.8
120.8583,-0.0082,-21.5
120.875,-0.0082,-21.3
120.8917,-0.0082,-20.5
120.9083,-0.0082,-20
120.925,-0.0082,-20.2
120.9417,-0.0082,-20.8
120.9583,-0.0082,-21.3
120.975,-0.0082,-21.3
120.9917,-0.0082,-21
121.0083,-0.0082,-20.2
121.025,-0.0082,-18.7
121.0417,-0.0082,-17.5
121.0583,-0.0082,-17.2
121.075,-0.0082,-16.9
121.0917,-0.0082,-15.9
121.1083,-0.0082,-14.2
121.125,-0.0082,-12.6
121.1417,-0.0082,-11.3
121.1583,-0.0082,-10.5
121.175,-0.0082,-9.8
121.1917,-0.0082,-8.9
121.2083,-0.0082,-7.7
121.225,-0.0082,-6.1
121.2417,-0.0082,-4.5
121.2583,-0.0082,-2.9
121.275,-0.0082,-1.2
121.2917,-0.0082,0.8
121.3083,-0.0082,2.9
121.325,-0.0082,4.9
121.3417,-0.0082,6.4
121.3583,-0.0082,7.1
121.375,-0.0082,7.1
121.3917,-0.0082,6.9
121.4083,-0.0082,7.2
121.425,-0.0082,8.1
121.4417,-0.0082,8.9
121.4583,-0.0082,9
121.475,-0.0082,8.8
121.4917,-0.0082,9.1
121.5083,-0.0082,10.5
121.525,-0.0082,12.8
121.5417,-0.0082,15.2
121.5583,-0.0082,16.9
121.575,-0.0082,17.7
121.5917,-0.0082,18.1
121.6083,-0.0082,18.3
121.625,-0.0082,18.5
121.6417,-0.0082,19.4
121.6583,-0.0082,21.1
121.675,-0.0082,23.6
121.6917,-0.0082,25.8
121.7083,-0.0082,26.9
121.725,-0.0082,26.5
121.7417,-0.0082,25
121.7583,-0.0082,22.8
121.775,-0.0082,19.7
121.7917,-0.0082,16.2
121.8083,-0.0082,13.5
121.825,-0.0082,12.5
121.8417,-0.0082,12.8
121.8583,-0.0082,13.3
121.875,-0.0082,13.9
121.8917,-0.0082,14.8
121.9083,-0.0082,15.5
121.925,-0.0082,15.4
121.9417,-0.0082,14.8
121.9583,-0.0082,14.3
121.975,-0.0082,14.3
121.9917,-0.0082,14.6
122.0083,-0.0082,14.4
122.025,-0.0082,13.3
122.0417,-0.0082,11.7
122.0583,-0.0082,10.4
122.075,-0.0082,9.5
122.0917,-0.0082,8.8
122.1083,-0.0082,7.5
122.125,-0.0082,5.1
122.1417,-0.0082,1.7
122.1583,-0.0082,-2.4
122.175,-0.0082,-7.2
122.1917,-0.0082,-12.6
122.2083,-0.0082,-18.5
122.225,-0.0082,-24.5
122.2417,-0.0082,-29.6
122.2583,-0.0082,-33.1
122.275,-0.0082,-35.6
122.2917,-0.0082,-38
122.3083,-0.0082,-41
122.325,-0.0082,-44.5
122.3417,-0.0082,-48.5
122.3583,-0.0082,-52.6
122.375,-0.0082,-56.6
122.3917,-0.0082,-60.6
122.4083,-0.0082,-64.7
122.425,-0.0082,-68.9
122.4417,-0.0082,-73.3
122.4583,-0.0082,-77
122.475,-0.0082,-80.1
122.4917,-0.0082,-83.1
122.5083,-0.0082,-86.5
122.525,-0.0082,-90.6
122.5417,-0.0082,-95
122.5583,-0.0082,-99.2
122.575,-0.0082,-103.4
122.5917,-0.0082,-107.7
122.6083,-0.0082,-112.1
122.625,-0.0082,-116
122.6417,-0.0082,-118.6
122.6583,-0.0082,-119.6
122.675,-0.0082,-120.8
122.6917,-0.0082,-123.3
122.7083,-0.0082,-126.1
122.725,-0.0082,-127.8
122.7417,-0.0082,-128.7
122.7583,-0.0082,-129.7
122.775,-0.0082,-130.7
122.7917,-0.0082,-131.7
122.8083,-0.0082,-132.7
122.825,-0.0082,-134
122.8417,-0.0082,-135.6
122.8583,-0.0082,-137.2
122.875,-0.0082,-138.7
122.8917,-0.0082,-139.7
122.9083,-0.0082,-140.1
122.925,-0.0082,-140.2
122.9417,-0.0082,-141.1
122.9583,-0.0082,-143
122.975,-0.0082,-145
122.9917,-0.0082,-146.2
123.0083,-0.0082,-146.8
123.025,-0.0082,-147.8
123.0417,-0.0082,-149.3
123.0583,-0.0082,-151
123.075,-0.0082,-153.2
123.0917,-0.0082,-156.4
123.1083,-0.0082,-160.2
123.125,-0.0082,-164.2
123.1417,-0.0082,-167.4
123.1583,-0.0082,-169.5
123.175,-0.0082,-170.7
123.1917,-0.0082,-171.7
123.2083,-0.0082,-172.6
123.225,-0.0082,-173.2
123.2417,-0.0082,-173.3
123.2583,-0.0082,-173.2
123.275,-0.0082,-173.3
123.2917,-0.0082,-173.8
123.3083,-0.0082,-173.6
123.325,-0.0082,-172.3
123.3417,-0.0082,-170.9
123.3583,-0.0082,-170.2
123.375,-0.0082,-169.3
123.3917,-0.0082,-167.6
123.4083,-0.0082,-165.8
123.425,-0.0082,-165
123.4417,-0.0082,-164.9
123.4583,-0.0082,-164.6
123.475,-0.0082,-163.8
